source,source_rank,case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,coarse_replay_max_error_mm,coarse_max_force_N,coarse_max_drive_disp_mm,coarse_max_jl_condition,coarse_constraint_failures,coarse_ik_failures,coarse_objective_score,resampling_factor,n_samples,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_step_disp_mm,max_step_force_N,step_disp_limit_mm,step_force_limit_N,constraint_failures,replay_exit_failures,execution_feasible,execution_score,failure_message
local_refined,22,1022,3.2,60,0.75:1.00:1.25,0.75,1,1.25,0.149146966503934,138.391859232242,2.79904611215039,3.80218760469271,2,51,165.329634028316,5,266,0.0555457235071137,0.153992291494499,138.266599849626,2.79629274413462,0.161982588191056,12.3562509097425,0.18,18,0,0,1,2.74407550177581,
local_refined,23,1023,3.2,60,0.80:1.00:1.20,0.8,1,1.2,0.150023221180775,144.94402642988,2.7571408523183,3.78166523582299,2,51,165.356371320212,5,266,0.0558033832350426,0.15320303740947,144.807303243233,2.75445072001071,0.158313074747021,12.7638583207329,0.18,18,0,0,1,2.76467090075091,
local_refined,24,1024,3.2,60,0.85:1.00:1.15,0.85,1,1.15,0.151306163157047,150.802315252302,2.70792269868919,3.79700613549773,2,51,165.379486188667,5,266,0.0562210690560541,0.152654576893875,150.654136874193,2.70531021684364,0.154112822671262,13.1241997205767,0.18,18,0,0,1,2.77959110795498,
local_refined,25,1025,3.2,70,0.75:1.00:1.25,0.75,1,1.25,0.149146967632791,148.903520273011,2.79904611215684,3.80218760469271,2,51,165.388032149727,5,266,0.0555457072318622,0.153992284969916,148.781858028565,2.79629274414114,0.161982588191306,13.7221869322413,0.18,18,0,0,1,2.82146491031972,
local_refined,26,1026,3.2,70,0.80:1.00:1.20,0.8,1,1.2,0.150023222258538,156.185541708362,2.75714085233658,3.78166523582299,2,51,165.418824187186,5,266,0.0558033665703264,0.153203026061079,156.053737217374,2.754450720029,0.158313074747632,14.1645821995357,0.18,18,0,0,1,2.84660554242567,
local_refined,27,1027,3.2,70,0.85:1.00:1.15,0.85,1,1.15,0.151306164175174,162.650308032836,2.70792269873113,3.79700613549773,2,51,165.445308374866,5,266,0.056221050771117,0.152654557321749,162.508304235615,2.7053102168856,0.154112822672567,14.553783843449,0.18,18,0,0,1,2.86530285006212,
local_refined,28,1028,3.4,50,0.75:1.00:1.25,0.75,1,1.25,0.148823165739506,133.336080433297,2.97461756453787,3.8021876046927,2,51,165.353454635685,6,319,0.0528091154647918,0.153643589647118,133.273404270703,2.97457905860427,0.143456215408497,10.5503507268068,0.18,18,0,0,1,2.71815385455339,
local_refined,29,1029,3.4,50,0.80:1.00:1.20,0.8,1,1.2,0.149714792616289,140.059079241125,2.93008057004382,3.78166523582299,2,51,165.380404985529,6,319,0.0530833743931858,0.152910580883135,139.991773260004,2.93004294846633,0.140206128791648,10.8827728716593,0.18,18,0,0,1,2.73868317365115,
local_refined,30,1030,3.4,50,0.85:1.00:1.15,0.85,1,1.15,0.151013270083203,145.989829480123,2.87777020659918,3.79700613549773,2,51,165.403047526094,5,266,0.0534420491148931,0.148698651837629,145.877809608161,2.8749935005899,0.163783138372023,13.4086914082843,0.18,18,0,0,1,2.80603370061406,
local_refined,31,1031,3.4,60,0.75:1.00:1.25,0.75,1,1.25,0.148823165659548,130.452370901091,2.97461756454084,3.80218760469271,2,51,165.337434026853,6,319,0.0528090778239771,0.153643551834841,130.376448543398,2.97457905860721,0.143456215408663,9.70476659380159,0.18,18,0,0,1,2.69031528075086,
local_refined,32,1032,3.4,60,0.80:1.00:1.20,0.8,1,1.2,0.149714792580675,136.626781755064,2.93008057005303,3.78166523582299,2,51,165.361336666022,6,319,0.053083336871523,0.152910536508071,136.543895727231,2.93004294847556,0.140206128791995,10.0246935329923,0.18,18,0,0,1,2.70761035237951,
local_refined,33,1033,3.4,60,0.85:1.00:1.15,0.85,1,1.15,0.151013270083972,142.148273347423,2.87777020662214,3.79700613549773,2,51,165.38170554759,5,266,0.0534420097638347,0.148698605809502,142.008509223482,2.87499350061302,0.163783138372911,12.3688291033958,0.18,18,0,0,1,2.77009487124924,
local_refined,34,1034,3.4,70,0.75:1.00:1.25,0.75,1,1.25,0.148823166785097,140.357666846475,2.97461756454737,3.8021876046927,2,51,165.392463453276,6,319,0.052809060207315,0.153643542077562,140.28392178296,2.97457905861373,0.143456215408871,10.7773906592445,0.18,18,0,0,1,2.76025431618606,
local_refined,35,1035,3.4,70,0.80:1.00:1.20,0.8,1,1.2,0.149714793654293,147.219911476093,2.93008057007146,3.78166523582299,2,51,165.420187390995,6,319,0.0530833187750196,0.15291052059543,147.140000891735,2.93004294849397,0.140206128792564,11.1246145241967,0.18,18,0,0,1,2.78175422008262,
local_refined,36,1036,3.4,70,0.85:1.00:1.15,0.85,1,1.15,0.151013271097522,153.313022813781,2.87777020666438,3.79700613549773,2,51,165.443731937581,5,266,0.0534419898446847,0.14869858442417,153.179065921161,2.87499350065529,0.163783138374229,13.7159055353386,0.18,18,0,0,1,2.85086282893108,
