case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,plan_mean_error_mm,plan_max_error_mm,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_jl_condition,mean_jl_condition,max_iterations,mean_iterations,constraint_utilization,constraint_failures,ik_failures,replay_exit_failures,feasible,objective_score,failure_message
41,4,50,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.052243897861295,0.168417382753212,145.621528640755,2.92788149687855,4.94140210330416,4.94140210330416,3,2.53703703703704,4.32496310336896,2,52,0,0,168.508684879848,
32,4,20,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0522443125777079,0.168417384350436,145.63765220732,2.92788149726574,4.94140210330416,4.94140210330415,3,2.53703703703704,4.3249597948503,2,52,0,0,168.508774461724,
26,3.5,50,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.057464493147286,0.168692354430172,165.833370543905,2.56113244945885,4.94140210330415,4.94140210330415,3,2.5,4.10427708864847,2,52,0,0,168.510936702153,
17,3.5,20,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0574648528865322,0.168692356014666,165.845530948755,2.56113244984335,4.94140210330416,4.94140210330415,3,2.5,4.10457699878686,2,52,0,0,168.511004266412,
59,4.5,60,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0488202678852228,0.168259395580045,126.81309880741,3.2945399520707,4.94140210330415,4.94140210330415,3,2.57407407407407,4.78879669190937,2,52,0,0,168.514670277089,
50,4.5,30,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0488211771796634,0.168259397108411,126.860022278602,3.29453995086038,4.94140210330415,4.94140210330415,3,2.57407407407407,4.78879668957921,2,52,0,0,168.514930968786,
56,4.5,50,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.048820671035735,0.168259395448114,129.847703219582,3.29453995116109,4.94140210330415,4.94140210330415,3,2.57407407407407,4.87259003417967,2,52,0,0,168.531529189686,
47,4.5,20,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0488211396658397,0.168259397078573,129.868371315484,3.29453995155016,4.94140210330416,4.94140210330415,3,2.57407407407407,4.87258580076729,2,52,0,0,168.531644019081,
38,4,40,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0522441985959352,0.168417383490244,153.177916500435,2.92788149644206,4.94140210330415,4.94140210330415,3,2.53703703703704,4.39677737825057,2,52,0,0,168.550664815217,
23,3.5,40,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0574647542600207,0.168692355173307,174.430330855707,2.56113244902983,4.94140210330416,4.94140210330415,3,2.5,4.19800391306587,2,52,0,0,168.558697595617,
53,4.5,40,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0488210104228415,0.168259396189552,136.592232124366,3.29453995071799,4.94140210330416,4.94140210330415,3,2.57407407407407,4.95353920651495,2,52,0,0,168.568998797544,
45,4,60,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0423993529382817,0.149144245429898,116.547646469609,3.44872132978093,3.78166523582299,3.78166523582299,3,2.53703703703704,5.44238758991474,3,51,0,0,170.404667592417,
36,4,30,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.042399291025018,0.149144248292316,116.549387368992,3.44872132978755,3.78166523582299,3.78166523582299,3,2.53703703703704,5.44238758990626,3,51,0,0,170.404677275532,
33,4,20,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0423991921330717,0.149144247754504,119.461746748442,3.44872132980886,3.78166523582299,3.78166523582299,3,2.53703703703704,5.44238758994041,3,51,0,0,170.420857047718,
42,4,50,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0423993987861214,0.149144245444865,119.465565714919,3.44872132977152,3.78166523582299,3.78166523582299,3,2.53703703703704,5.44238758989153,3,51,0,0,170.420878254948,
39,4,40,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0423993843590179,0.149144246904654,125.581659605967,3.4487213297739,3.78166523582299,3.78166523582299,3,2.53703703703704,5.44238758988829,3,51,0,0,170.454856560183,
60,4.5,60,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0393939962452273,0.148887058411727,103.831868445828,3.88077622799587,3.78166523582299,3.78166523582299,3,2.55555555555556,6.12439128621803,3,51,0,0,170.463921359833,
51,4.5,30,0.8:1:1.2,0.8,1,1.2,0.0306371297545563,0.148271310882141,0.0393939250180059,0.148887061308209,103.834091088523,3.88077622800256,3.78166523582299,3.78166523582299,3,2.55555555555556,6.12439128620947,3,51,0,0,170.463933719436,
